repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/incubator-iotdb,342,non-refactoring-inducing PR,https://github.com/apache/incubator-iotdb/pull/342,d8ad79ddb49d9eabb98a0392e4644281265e5740,https://github.com/apache/incubator-iotdb/commit/d8ad79ddb49d9eabb98a0392e4644281265e5740,False,,,,,,
apache/beam,5772,non-refactoring-inducing PR,https://github.com/apache/beam/pull/5772,db7699570e4d38569f771d151195f4f309258ce9,https://github.com/apache/beam/commit/db7699570e4d38569f771d151195f4f309258ce9,True,,,,,,"PR comprises perfective changes (update) | No bot, but PR presents a checklist consisting of steps to contribute with the repository | A well-explained PR description | No review comments in Java code, but review comments in other ones regarding code logic."
apache/beam,5772,non-refactoring-inducing PR,https://github.com/apache/beam/pull/5772,6ee955377fe0c9410b3d4313ce95955d3f491671,https://github.com/apache/beam/commit/6ee955377fe0c9410b3d4313ce95955d3f491671,False,,,,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,"buffer : char[] to strLen : int in method public capitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,PR comprises perfective changes (update) | No bot | No PR description provided.
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,"ch : char to codePoint : int in method public capitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,"buffer : char[] to strLen : int in method public capitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,"ch : char to codePoint : int in method public capitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,"buffer : char[] to strLen : int in method public uncapitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Change Variable Type,"ch : char to codePoint : int in method public uncapitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
apache/commons-text,39,non-refactoring-inducing PR,https://github.com/apache/commons-text/pull/39,18969d7d862264e3b5267ba170cf60645863ad19,https://github.com/apache/commons-text/commit/18969d7d862264e3b5267ba170cf60645863ad19,True,Rename Variable,"buffer : char[] to strLen : int in method public uncapitalize(str String, delimiters char...) : String in class org.apache.commons.text.WordUtils",,,,
